,timestamp,protocol,port,attack_type,severity,event_type,hour,day_of_week,day,month,attack_type_encoded,event_type_encoded,protocol_encoded,severity_rolling_avg,lag_1_attack_type,lag_2_attack_type
66,2025-04-21 12:28:06.053741,UDP,1083,Normal,0.49,Login,12,0,21,4,3,2,2,3.6200000000000014,4.0,3.0
67,2025-04-21 13:06:28.053741,TCP,7105,Normal,2.08,File Transfer,13,0,21,4,3,1,1,3.943333333333335,3.0,4.0
68,2025-04-21 13:09:42.053741,ICMP,1972,Normal,2.11,File Transfer,13,0,21,4,3,1,0,1.5600000000000016,3.0,3.0
69,2025-04-21 12:56:54.053741,ICMP,4697,Normal,0.34,Exploit Attempt,12,0,21,4,3,0,0,1.5100000000000018,3.0,3.0
70,2025-04-21 12:11:02.053741,TCP,1436,Normal,3.0,Normal Activity,12,0,21,4,3,3,1,1.8166666666666682,3.0,3.0
71,2025-04-21 12:18:16.053741,TCP,2735,Normal,2.26,File Transfer,12,0,21,4,3,1,1,1.8666666666666683,3.0,3.0
72,2025-04-21 12:06:30.053741,UDP,306,Normal,0.71,Suspicious Traffic,12,0,21,4,3,5,2,1.9900000000000018,3.0,3.0
73,2025-04-21 12:47:56.053741,ICMP,2478,Normal,1.2,File Transfer,12,0,21,4,3,1,0,1.3900000000000017,3.0,3.0
74,2025-04-21 13:03:22.053741,UDP,5450,Normal,0.14,Port Scan,13,0,21,4,3,4,2,0.683333333333335,3.0,3.0
75,2025-04-21 13:05:27.053741,TCP,5652,Normal,1.21,Exploit Attempt,13,0,21,4,3,0,1,0.8500000000000018,3.0,3.0
76,2025-04-21 13:17:42.053741,TCP,1757,Normal,2.79,Normal Activity,13,0,21,4,3,3,1,1.3800000000000017,3.0,3.0
77,2025-04-21 13:18:42.053741,UDP,2031,Normal,1.31,Port Scan,13,0,21,4,3,4,2,1.770000000000002,3.0,3.0
78,2025-04-21 12:57:36.053741,ICMP,4806,Normal,2.52,Exploit Attempt,12,0,21,4,3,0,0,2.2066666666666683,3.0,3.0
79,2025-04-21 12:20:08.053741,ICMP,5246,Normal,2.93,Exploit Attempt,12,0,21,4,3,0,0,2.253333333333335,3.0,3.0
80,2025-04-21 13:04:22.053741,UDP,587,Normal,2.42,Port Scan,13,0,21,4,3,4,2,2.623333333333335,3.0,3.0
81,2025-04-21 12:17:54.053741,ICMP,7372,Normal,0.27,Login,12,0,21,4,3,2,0,1.8733333333333348,3.0,3.0
82,2025-04-21 12:15:22.053741,TCP,6024,DDoS,8.28,File Transfer,12,0,21,4,1,1,1,3.656666666666668,3.0,3.0
83,2025-04-21 13:03:57.053741,TCP,4539,Normal,1.95,Normal Activity,13,0,21,4,3,3,1,3.5000000000000013,1.0,3.0
84,2025-04-21 13:17:18.053741,UDP,3359,Normal,1.11,Exploit Attempt,13,0,21,4,3,0,2,3.7800000000000016,3.0,1.0
85,2025-04-21 12:37:07.053741,TCP,4649,Normal,1.2,Normal Activity,12,0,21,4,3,3,1,1.4200000000000017,3.0,3.0
86,2025-04-21 13:03:20.053741,UDP,7807,Normal,1.45,Port Scan,13,0,21,4,3,4,2,1.253333333333335,3.0,3.0
87,2025-04-21 12:24:54.053741,UDP,5949,Normal,2.76,Port Scan,12,0,21,4,3,4,2,1.8033333333333352,3.0,3.0
88,2025-04-21 12:31:02.053741,TCP,5221,Normal,0.19,File Transfer,12,0,21,4,3,1,1,1.4666666666666683,3.0,3.0
89,2025-04-21 13:04:00.053741,TCP,2601,Brute Force,6.77,Login,13,0,21,4,0,2,1,3.2400000000000015,3.0,3.0
90,2025-04-21 12:37:42.053741,ICMP,860,Normal,2.43,Normal Activity,12,0,21,4,3,3,0,3.1300000000000012,0.0,3.0
91,2025-04-21 12:53:16.053741,TCP,6654,Normal,1.54,Exploit Attempt,12,0,21,4,3,0,1,3.580000000000002,3.0,0.0
92,2025-04-21 13:01:30.053741,TCP,6642,Normal,2.68,Port Scan,13,0,21,4,3,4,1,2.216666666666668,3.0,3.0
93,2025-04-21 12:43:33.053741,UDP,7772,Normal,1.25,Login,12,0,21,4,3,2,2,1.8233333333333348,3.0,3.0
94,2025-04-21 12:17:22.053741,ICMP,1261,Normal,0.54,Port Scan,12,0,21,4,3,4,0,1.4900000000000013,3.0,3.0
95,2025-04-21 13:09:47.053741,TCP,2432,Normal,1.4,Exploit Attempt,13,0,21,4,3,0,1,1.0633333333333348,3.0,3.0
96,2025-04-21 13:29:42.053741,TCP,3007,Malware,7.2,Login,13,0,21,4,2,2,1,3.046666666666668,3.0,3.0
97,2025-04-21 13:33:51.053741,TCP,7272,Normal,2.69,File Transfer,13,0,21,4,3,1,1,3.7633333333333354,2.0,3.0
98,2025-04-21 12:09:52.053741,UDP,5985,Normal,2.07,Suspicious Traffic,12,0,21,4,3,5,2,3.986666666666668,3.0,2.0
99,2025-04-21 12:46:15.053741,ICMP,4912,Normal,1.94,Login,12,0,21,4,3,2,0,2.2333333333333347,3.0,3.0
100,2025-04-21 13:33:22.053741,UDP,2263,Normal,1.37,Suspicious Traffic,13,0,21,4,3,5,2,1.7933333333333348,3.0,3.0
101,2025-04-21 12:53:53.053741,UDP,6407,Normal,2.74,File Transfer,12,0,21,4,3,1,2,2.016666666666668,3.0,3.0
102,2025-04-21 13:42:00.053741,TCP,4160,Normal,1.33,Port Scan,13,0,21,4,3,4,1,1.813333333333335,3.0,3.0
103,2025-04-21 12:53:12.053741,UDP,5481,Normal,2.75,Login,12,0,21,4,3,2,2,2.2733333333333348,3.0,3.0
104,2025-04-21 12:20:46.053741,TCP,4164,Normal,2.89,File Transfer,12,0,21,4,3,1,1,2.3233333333333346,3.0,3.0
105,2025-04-21 13:09:57.053741,TCP,6094,Normal,0.39,Login,13,0,21,4,3,2,1,2.010000000000001,3.0,3.0
106,2025-04-21 13:42:24.053741,TCP,2054,Normal,1.28,Port Scan,13,0,21,4,3,4,1,1.5200000000000014,3.0,3.0
107,2025-04-21 13:46:55.053741,TCP,5711,Normal,1.24,File Transfer,13,0,21,4,3,1,1,0.9700000000000015,3.0,3.0
108,2025-04-21 13:22:42.053741,TCP,6358,Normal,0.75,Normal Activity,13,0,21,4,3,3,1,1.0900000000000014,3.0,3.0
109,2025-04-21 13:27:05.053741,ICMP,1218,Normal,2.41,Exploit Attempt,13,0,21,4,3,0,0,1.466666666666668,3.0,3.0
110,2025-04-21 12:32:52.053741,UDP,7304,Normal,2.21,Port Scan,12,0,21,4,3,4,2,1.7900000000000016,3.0,3.0
111,2025-04-21 13:04:36.053741,UDP,2265,Normal,0.7,Normal Activity,13,0,21,4,3,3,2,1.7733333333333345,3.0,3.0
112,2025-04-21 12:18:30.053741,TCP,4785,Normal,1.03,Suspicious Traffic,12,0,21,4,3,5,1,1.3133333333333346,3.0,3.0
113,2025-04-21 13:50:56.053741,UDP,2949,Normal,2.06,Port Scan,13,0,21,4,3,4,2,1.2633333333333348,3.0,3.0
114,2025-04-21 13:12:00.053741,ICMP,5034,Normal,1.36,Login,13,0,21,4,3,2,0,1.483333333333335,3.0,3.0
115,2025-04-21 13:14:32.053741,UDP,6202,DDoS,8.01,Port Scan,13,0,21,4,1,4,2,3.810000000000001,3.0,3.0
116,2025-04-21 12:36:30.053741,TCP,5539,Normal,0.09,Exploit Attempt,12,0,21,4,3,0,1,3.1533333333333347,1.0,3.0
117,2025-04-21 12:19:15.053741,UDP,2552,Phishing,7.42,Login,12,0,21,4,4,2,2,5.173333333333335,3.0,1.0
118,2025-04-21 12:58:44.053741,UDP,345,Normal,2.97,Port Scan,12,0,21,4,3,4,2,3.4933333333333354,4.0,3.0
119,2025-04-21 13:25:00.053741,TCP,6211,Normal,2.66,Normal Activity,13,0,21,4,3,3,1,4.350000000000002,3.0,4.0
120,2025-04-21 12:57:42.053741,UDP,20,Normal,0.18,Suspicious Traffic,12,0,21,4,3,5,2,1.9366666666666685,3.0,3.0
121,2025-04-21 14:02:42.053741,TCP,4497,Normal,0.3,Exploit Attempt,14,0,21,4,3,0,1,1.0466666666666684,3.0,3.0
122,2025-04-21 13:00:40.053741,UDP,2772,Malware,6.49,Suspicious Traffic,13,0,21,4,2,5,2,2.3233333333333355,3.0,3.0
123,2025-04-21 13:58:33.053741,ICMP,419,Normal,0.11,File Transfer,13,0,21,4,3,1,0,2.300000000000002,2.0,3.0
124,2025-04-21 13:26:26.053741,UDP,6004,Phishing,7.32,File Transfer,13,0,21,4,4,1,2,4.640000000000002,3.0,2.0
125,2025-04-21 12:18:22.053741,TCP,2088,Normal,1.68,File Transfer,12,0,21,4,3,1,1,3.036666666666669,4.0,3.0
126,2025-04-21 12:16:24.053741,TCP,3193,Normal,2.36,File Transfer,12,0,21,4,3,1,1,3.786666666666669,3.0,4.0
127,2025-04-21 13:24:15.053741,UDP,5050,Normal,1.6,Port Scan,13,0,21,4,3,4,2,1.880000000000002,3.0,3.0
128,2025-04-21 13:29:10.053741,UDP,1351,Normal,2.25,Normal Activity,13,0,21,4,3,3,2,2.070000000000002,3.0,3.0
129,2025-04-21 12:44:42.053741,TCP,5589,Normal,2.49,File Transfer,12,0,21,4,3,1,1,2.1133333333333355,3.0,3.0
130,2025-04-21 13:28:22.053741,TCP,3627,Normal,1.44,Normal Activity,13,0,21,4,3,3,1,2.0600000000000023,3.0,3.0
131,2025-04-21 13:18:07.053741,UDP,3191,DDoS,9.12,Normal Activity,13,0,21,4,1,3,2,4.350000000000002,3.0,3.0
132,2025-04-21 13:56:06.053741,UDP,6393,Normal,1.33,Port Scan,13,0,21,4,3,4,2,3.963333333333335,1.0,3.0
133,2025-04-21 13:25:56.053741,TCP,4896,Reconnaissance,9.96,Login,13,0,21,4,5,2,1,6.8033333333333355,3.0,1.0
134,2025-04-21 13:08:42.053741,ICMP,6178,Brute Force,8.85,File Transfer,13,0,21,4,0,1,0,6.713333333333336,5.0,3.0
135,2025-04-21 13:58:42.053741,ICMP,485,Normal,1.16,Port Scan,13,0,21,4,3,4,0,6.65666666666667,0.0,5.0
136,2025-04-21 12:08:30.053741,TCP,4581,Normal,0.88,Normal Activity,12,0,21,4,3,3,1,3.630000000000002,3.0,0.0
137,2025-04-21 13:44:27.053741,TCP,1774,Normal,0.48,Login,13,0,21,4,3,2,1,0.8400000000000024,3.0,3.0
138,2025-04-21 12:45:24.053741,UDP,1167,Normal,0.92,Normal Activity,12,0,21,4,3,3,2,0.7600000000000025,3.0,3.0
139,2025-04-21 13:59:51.053741,TCP,7055,Normal,2.92,File Transfer,13,0,21,4,3,1,1,1.4400000000000024,3.0,3.0
140,2025-04-21 12:25:02.053741,ICMP,6473,DDoS,8.46,Suspicious Traffic,12,0,21,4,1,5,0,4.100000000000002,3.0,3.0
141,2025-04-21 12:39:18.053741,UDP,7742,Normal,2.45,Login,12,0,21,4,3,2,2,4.610000000000003,1.0,3.0
142,2025-04-21 13:29:16.053741,UDP,3143,Normal,0.91,Login,13,0,21,4,3,2,2,3.9400000000000026,3.0,1.0
143,2025-04-21 14:17:33.053741,ICMP,5005,Normal,0.03,Port Scan,14,0,21,4,3,4,0,1.1300000000000023,3.0,3.0
144,2025-04-21 13:49:42.053741,UDP,4803,Malware,9.7,Exploit Attempt,13,0,21,4,2,0,2,3.5466666666666686,3.0,3.0
145,2025-04-21 13:57:42.053741,ICMP,321,Normal,1.76,File Transfer,13,0,21,4,3,1,0,3.830000000000002,2.0,3.0
146,2025-04-21 12:52:48.053741,ICMP,3888,Normal,0.03,File Transfer,12,0,21,4,3,1,0,3.830000000000002,3.0,2.0
147,2025-04-21 14:21:21.053741,TCP,7368,Normal,1.97,Login,14,0,21,4,3,2,1,1.2533333333333356,3.0,3.0
148,2025-04-21 12:11:34.053741,TCP,2694,Normal,0.59,Suspicious Traffic,12,0,21,4,3,5,1,0.8633333333333358,3.0,3.0
149,2025-04-21 14:08:21.053741,ICMP,6206,Normal,2.26,Exploit Attempt,14,0,21,4,3,0,0,1.6066666666666691,3.0,3.0
150,2025-04-21 13:14:12.053741,ICMP,1033,Normal,1.46,File Transfer,13,0,21,4,3,1,0,1.4366666666666692,3.0,3.0
151,2025-04-21 12:34:25.053741,ICMP,4598,Normal,1.73,Login,12,0,21,4,3,2,0,1.8166666666666689,3.0,3.0
152,2025-04-21 13:02:30.053741,ICMP,1866,Normal,2.32,File Transfer,13,0,21,4,3,1,0,1.836666666666669,3.0,3.0
153,2025-04-21 13:51:21.053741,TCP,4707,Normal,0.98,Port Scan,13,0,21,4,3,4,1,1.6766666666666687,3.0,3.0
154,2025-04-21 13:28:58.053741,UDP,2504,Normal,0.47,Normal Activity,13,0,21,4,3,3,2,1.2566666666666688,3.0,3.0
155,2025-04-21 12:45:37.053741,TCP,6117,DDoS,7.97,File Transfer,12,0,21,4,1,1,1,3.1400000000000023,3.0,3.0
156,2025-04-21 12:40:42.053741,TCP,8000,DDoS,8.46,Suspicious Traffic,12,0,21,4,1,5,1,5.6333333333333355,1.0,3.0
157,2025-04-21 14:17:46.053741,TCP,5448,Phishing,8.85,Exploit Attempt,14,0,21,4,4,0,1,8.42666666666667,1.0,1.0
158,2025-04-21 12:41:12.053741,UDP,6894,Normal,1.23,Port Scan,12,0,21,4,3,4,2,6.180000000000003,4.0,1.0
159,2025-04-21 12:36:09.053741,ICMP,4014,Normal,0.13,File Transfer,12,0,21,4,3,1,0,3.4033333333333355,3.0,4.0
160,2025-04-21 12:17:42.053741,TCP,7834,Normal,0.57,File Transfer,12,0,21,4,3,1,1,0.6433333333333356,3.0,3.0
161,2025-04-21 12:55:22.053741,UDP,360,DDoS,9.33,File Transfer,12,0,21,4,1,1,2,3.3433333333333355,3.0,3.0
162,2025-04-21 14:05:54.053741,ICMP,1395,Normal,2.0,Exploit Attempt,14,0,21,4,3,0,0,3.9666666666666686,1.0,3.0
163,2025-04-21 12:34:18.053741,ICMP,516,Normal,1.56,Normal Activity,12,0,21,4,3,3,0,4.2966666666666695,3.0,1.0
164,2025-04-21 13:51:02.053741,ICMP,7245,Normal,2.4,Port Scan,13,0,21,4,3,4,0,1.986666666666669,3.0,3.0
165,2025-04-21 13:54:27.053741,UDP,1369,Normal,0.67,Suspicious Traffic,13,0,21,4,3,5,2,1.5433333333333357,3.0,3.0
166,2025-04-21 13:57:54.053741,ICMP,7907,Normal,2.27,Normal Activity,13,0,21,4,3,3,0,1.7800000000000022,3.0,3.0
167,2025-04-21 14:37:34.053741,UDP,589,Phishing,7.95,Suspicious Traffic,14,0,21,4,4,5,2,3.6300000000000026,3.0,3.0
168,2025-04-21 13:39:42.053741,UDP,6996,Normal,0.38,Login,13,0,21,4,3,2,2,3.5333333333333354,4.0,3.0
169,2025-04-21 14:42:15.053741,UDP,1986,Normal,2.97,Login,14,0,21,4,3,2,2,3.7666666666666693,3.0,4.0
170,2025-04-21 12:30:02.053741,TCP,4053,Normal,1.82,Exploit Attempt,12,0,21,4,3,0,1,1.7233333333333354,3.0,3.0
171,2025-04-21 13:12:57.053741,UDP,6654,Normal,0.56,Normal Activity,13,0,21,4,3,3,2,1.7833333333333357,3.0,3.0
172,2025-04-21 12:50:26.053741,ICMP,4828,Normal,2.85,Normal Activity,12,0,21,4,3,3,0,1.7433333333333352,3.0,3.0
173,2025-04-21 12:19:00.053741,UDP,1871,Malware,8.16,Login,12,0,21,4,2,2,2,3.8566666666666687,3.0,3.0
174,2025-04-21 12:22:00.053741,TCP,4317,Normal,3.0,Normal Activity,12,0,21,4,3,3,1,4.670000000000002,2.0,3.0
175,2025-04-21 13:17:32.053741,TCP,7999,Normal,1.97,Normal Activity,13,0,21,4,3,3,1,4.376666666666669,3.0,2.0
176,2025-04-21 12:25:10.053741,UDP,4723,Normal,0.05,Suspicious Traffic,12,0,21,4,3,5,2,1.673333333333335,3.0,3.0
177,2025-04-21 13:21:21.053741,UDP,1503,Normal,1.12,Normal Activity,13,0,21,4,3,3,2,1.0466666666666684,3.0,3.0
178,2025-04-21 14:47:50.053741,TCP,7063,Brute Force,6.67,File Transfer,14,0,21,4,0,1,1,2.613333333333335,3.0,3.0
179,2025-04-21 13:13:18.053741,UDP,5933,DDoS,8.14,File Transfer,13,0,21,4,1,1,2,5.310000000000002,0.0,3.0
180,2025-04-21 14:25:42.053741,UDP,1391,Normal,2.28,Exploit Attempt,14,0,21,4,3,0,2,5.696666666666669,1.0,0.0
181,2025-04-21 14:50:38.053741,TCP,3187,Normal,1.61,Port Scan,14,0,21,4,3,4,1,4.0100000000000025,3.0,1.0
182,2025-04-21 15:03:42.053741,ICMP,5680,Normal,1.21,Port Scan,15,0,21,4,3,4,0,1.7000000000000022,3.0,3.0
183,2025-04-21 13:02:42.053741,ICMP,355,Brute Force,8.79,Port Scan,13,0,21,4,0,4,0,3.8700000000000023,3.0,3.0
184,2025-04-21 12:10:54.053741,UDP,1206,Normal,0.83,File Transfer,12,0,21,4,3,1,2,3.6100000000000025,0.0,3.0
185,2025-04-21 15:00:32.053741,ICMP,4071,Phishing,6.79,Exploit Attempt,15,0,21,4,4,0,0,5.470000000000002,3.0,0.0
186,2025-04-21 12:11:00.053741,UDP,6321,DDoS,8.3,Port Scan,12,0,21,4,1,4,2,5.306666666666669,4.0,3.0
187,2025-04-21 14:21:57.053741,UDP,2713,Phishing,7.89,Port Scan,14,0,21,4,4,4,2,7.660000000000003,1.0,4.0
188,2025-04-21 15:09:42.053741,UDP,4296,Normal,2.04,Exploit Attempt,15,0,21,4,3,0,2,6.076666666666671,4.0,1.0
189,2025-04-21 14:32:54.053741,UDP,2743,Normal,1.81,Normal Activity,14,0,21,4,3,3,2,3.913333333333336,3.0,4.0
190,2025-04-21 14:30:32.053741,TCP,1255,Normal,2.07,Exploit Attempt,14,0,21,4,3,0,1,1.9733333333333363,3.0,3.0
191,2025-04-21 12:04:53.053741,TCP,3075,Normal,0.84,Normal Activity,12,0,21,4,3,3,1,1.5733333333333361,3.0,3.0
192,2025-04-21 13:47:18.053741,TCP,7937,Normal,0.23,Exploit Attempt,13,0,21,4,3,0,1,1.0466666666666695,3.0,3.0
193,2025-04-21 13:09:15.053741,UDP,4545,DDoS,9.07,Suspicious Traffic,13,0,21,4,1,5,2,3.380000000000003,3.0,3.0
194,2025-04-21 13:35:28.053741,ICMP,1213,Phishing,7.07,Login,13,0,21,4,4,2,0,5.4566666666666706,1.0,3.0
